Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Review Presentation (Market & Financial Analysis),SCRUM-80,10419,Task,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,22/Apr/26 7:56 AM,22/Apr/26 7:59 AM,,,,0,,,,,"Build the slide deck for the *Sprint 4 review presentation* of the *Regulatory Compliance Navigator* project (*K608 team*, *PR00B251*).

The presentation should cover market and financial analysis findings from *section 3.4*, including:

* *Competitive advantage table*
* *Financial viability metrics*
* *Technology stack justification*
* *Updated prototype screenshots*

Reference the *midway presentation style* (*dark green theme with gold accents*).

*Deliverables:* slides and report submission on Moodle.

*Requested priority:* High
*Requested sprint:* Sprint 4",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i00086:h,SCRUM questions Sprint 4,,,,,,,,,,,In Progress,22/Apr/26 7:59 AM
Complete Financial & Market Analysis (Section 3.4),SCRUM-79,10418,Task,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,,,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,22/Apr/26 7:47 AM,22/Apr/26 7:49 AM,,,,0,,,,,"Finalize the market and financial analysis chapter for the *Regulatory Compliance Navigator* (*K608 team project*, *PR00B251 Product Development Project at KTU*).

This task covers *report section 3.4* and includes:

* *Cost-benefit model refinement*
** MVP development cost: *€50–80K*
** Year 1 operations: *€95–170K*
* *SaaS pricing validation*
** Proposed pricing: *€10–25/month*
** Benchmark consultant fees: *€200–800/year*
* *Break-even analysis*
** Target range: *5–8K users*
* *Serviceable market sizing*
** *3.3M EU farms* in the *5–50 ha* segment
* *Funding opportunity mapping*
** *Horizon Europe Cluster 6*
** *EIP-AGRI*
** *CAP Pillar II*

*Deliverable:* completed *section 3.4* in the report.

*Requested priority:* High
*Requested sprint:* Sprint 4",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i00086:g,SCRUM questions Sprint 4,,,,,,,,,,,In Progress,22/Apr/26 7:48 AM
"End-to-end release hardening for login, profile, tasks, reports, reminders, and audit flows",SCRUM-78,10385,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,qa,regression,release,,"Release-hardening task for the final two sprint delivery window.

* Run end-to-end validation across login, profile, tasks, reports, reminders, and audit flows.
* Fix critical regression issues uncovered during final walkthrough and demo preparation.
* Document any residual risks before release sign-off.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000gn:,SCRUM questions Sprint 6,,,3.0,,,,,10160,SCRUM-21,Mobile App Foundation,To Do,13/Apr/26 5:15 PM
Replace mocked farm-profile sync with durable synced profile state and validation refresh,SCRUM-77,10383,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,followup-scrum-30,profile,sync,,"Follow-up task for the current mocked farm-profile sync path.

* Replace the mocked backend sync behavior with a durable synced profile state model.
* Refresh validation and user feedback around save versus sync outcomes.
* Close the remaining implementation gap behind SCRUM-30.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000gf:,SCRUM questions Sprint 6,,,5.0,,,,,10162,SCRUM-23,Farm Profile and Eligibility Inputs,To Do,13/Apr/26 5:15 PM
Add regulation feed deep-links from change items into impacted task or guidance view,SCRUM-76,10381,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,followup-scrum-45,navigation,regulations,,"Follow-up task for the regulation feed so it closes the missing navigation gap.

* Add deep-link behavior from feed items into the impacted task or guidance surface.
* Preserve read/unread behavior while improving navigation for changed rules.
* Close the remaining acceptance gap in SCRUM-45.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000g7:,SCRUM questions Sprint 6,,,5.0,,,,,10163,SCRUM-24,Compliance Tasks Module,To Do,13/Apr/26 5:15 PM
Expand task personalization rules and externalize task/risk/guidance content,SCRUM-75,10379,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:21 PM,,,,0,followup-scrum-31,followup-scrum-32,followup-scrum-42,tasks,"Follow-up task for compliance task stories that are currently implemented as a limited demo ruleset.

* Expand personalization beyond the current simplified profile-based demo logic.
* Move task content, plain-language guidance, and penalty/risk copy into an externalized content source.
* Keep the resulting task list aligned with the intent of SCRUM-31, SCRUM-32, and SCRUM-42.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fz:,SCRUM questions Sprint 6,,,8.0,,,,,10163,SCRUM-24,Compliance Tasks Module,To Do,13/Apr/26 5:15 PM
"Add i18n framework, persisted language selection, and untranslated-key build guard",SCRUM-74,10377,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:15 PM,13/Apr/26 5:20 PM,13/Apr/26 5:21 PM,,,0,followup-scrum-44,i18n,localization,,"New implementation task for multi-language interface support.

* Add a language-selection mechanism in app settings and persist the chosen language.
* Ensure the selected language survives restart and login session restore.
* Block release-quality builds when unresolved translation keys remain.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fr:,SCRUM questions Sprint 6,,,8.0,,,,,10160,SCRUM-21,Mobile App Foundation,To Do,13/Apr/26 5:15 PM
Add OCR document import with editable extraction review and low-confidence flags,SCRUM-73,10375,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,followup-scrum-38,ocr,reports,,"New implementation task for OCR-assisted report prefill.

* Extract document type, date, and identifier/reference from uploaded documents.
* Let the user review and edit OCR results before saving them into a report.
* Flag low-confidence extractions clearly for manual confirmation.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fj:,SCRUM questions Sprint 6,,,8.0,,,,,10164,SCRUM-25,Basic Report Workflow,To Do,13/Apr/26 5:15 PM
Export audit logs by date range in CSV/JSON and log the export action,SCRUM-72,10373,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,audit,export,followup-scrum-47,,"New implementation task for immutable audit export support.

* Allow date-range selection for audit export.
* Support CSV and JSON export formats with key traceability events included.
* Audit-log the export action itself so inspection evidence remains traceable.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000fb:,SCRUM questions Sprint 5,,,5.0,,,,,10167,SCRUM-28,Audit Logging and Traceability,To Do,13/Apr/26 5:14 PM
"Productionize evidence flow with real picker, retry UX, and report preview visibility",SCRUM-71,10371,Task,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,13/Apr/26 5:14 PM,13/Apr/26 5:20 PM,,,,0,attachments,followup-scrum-37,reports,,"Follow-up task for the current prototype-only evidence attachment flow.

* Replace the purely simulated upload path with a production-ready evidence selection flow.
* Surface clear failure and retry behavior for attachment errors.
* Expose attached evidence in report preview so it is visible in the reporting workflow.",,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,,,,,,,,,{},,0|i000f3:,SCRUM questions Sprint 5,,,5.0,,,,,10164,SCRUM-25,Basic Report Workflow,To Do,13/Apr/26 5:14 PM
